amount,createdAt,id,outcome,staker,dao,proposal,network
220000000000000000000,1566416295,0x0226d629dfbc16d78cc3788cf84ae62d331767c19a240d4df73e3d3714c757aa,Pass,0xa15ca74e65bf72730811abf95163e89ad9b9dff6,0xe8e1d0f1783b22ff409deb14fa5acc9cce2a3d15,0x90f193d9691673f756696e9b6f3b735fa9ac7e7e2494280b439686877e768efa,mainnet
3000000000000000000000,1570089357,0x022967feb9c8369f51b53a0ab0189f7e96d12519c58b44621b248e9720a3f154,Pass,0x2df717be53c990b07b158d14db7468de9b828582,0x294f999356ed03347c7a23bcbcf8d33fa41dc830,0x510b945aa11c67387a8aca461415ecc089610f0aafdf4ea515f3ade3f4dc0191,mainnet
2000000000000000000,1573565562,0x0229d490c544e2e6aab63f391a2a2bbf4d7c2345cb021af01142b6208a87e689,Fail,0xc4d9d1a93068d311ab18e988244123430eb4f1cd,0x2b8c70fffda7f3d7667f7cfede1429313886329c,0x0abd8dcd41c5d43cd778763aefe76907b695df77136e400d61dce61aa0db4418,mainnet
250000000000000000000,1573825468,0x022a475dd5879936435d0e38a1788fe39718de3ae843fe0a32aa2e02a34a9c02,Pass,0x9a94ac82b17e67f7dff81912de68eb74ca20e6c3,0x8990e11b69403ea53ef2b32434bbd7dbf84b5234,0xd259d6262f95b55e17145f517ba62eba0e551cd0695ddee19845fda4698e12cf,mainnet
400000000000000000000,1583903708,0x02555a512e50a567fbffe8cc3e5c8d6c235414c4d9c212e53611832a7ed403d2,Pass,0x774d556f7c2cae79f28a35b8e1f57371df8b8bca,0x8990e11b69403ea53ef2b32434bbd7dbf84b5234,0x6be47914c8fd79caa89d7a80b912c131f569c28d2169b59f0ca08133266222d6,mainnet
50000000000000000000,1554978464,0x0299aaa2a98aeeeff1b2d9f8fb58dc0302455d64c1f999a538afa58f0e4edb10,Pass,0xb1b7586656116d546033e3baff69bfcd6592225e,0x294f999356ed03347c7a23bcbcf8d33fa41dc830,0xc4a445241e97d04128620bfc2bfecdfecdfbdf0f79d6cefc4d59a2596cb11fe5,mainnet
1000000000000000000,1558449305,0x029fdbdd59f23a5c21d781d41b51a1f89f1985370fddcc3d71e39f34efbaa9f3,Pass,0x4171160db0e7e2c75a4973b7523b437c010dd9d4,0x294f999356ed03347c7a23bcbcf8d33fa41dc830,0x5e74a46a2edfbe6e0ab1f2b77dd7f6f2f5dbcdf272c14ece2293f0d17e6988a7,mainnet
141000000000000000000,1578339429,0x02ae9989f3848035a1c13d5015450f79fa7b291d426b013514db4d480831ea53,Pass,0x50589344709e59885ac585a525c46a8979041177,0x440583455bcd85ab2bd429c015d3aabcae135f0a,0xdf7d1b7b36f71833fc05905595b3e6ecc6980e70918989a4a6212a4066cc197d,mainnet
2000000000000000000,1594085083,0x02defeabca74081d95cd8f7316bcae7e6e8ab167af2ce6fa25f5b4dfcdccae4d,Pass,0x58b753f0c417494226af608b63e80028255cbc64,0x15344ecdc2c4edfcb092e284d93c20f0529fd8a6,0x437d3b6998e17d84a9c824742c58f45999260d2547cdd51a38092c90efe16605,mainnet
1000000000000000000000,1584225919,0x02e25d9ce33a6aa42824d672b3424bcb0ef947360b1ec6e78905c6487d1de409,Pass,0x774d556f7c2cae79f28a35b8e1f57371df8b8bca,0x519b70055af55a007110b4ff99b0ea33071c720a,0x5a34b00d5c916ce346174c612da5c28a96e630ac75931efbf80d78557ec92b31,mainnet
200000000000000000000,1560368641,0x02f7f62f2db84d39203298e5978e5a6cd34ad74a49a0e70ed56b2ce15e75a1fa,Pass,0x7539a96097e5214da7336be510cddd415339949e,0x440583455bcd85ab2bd429c015d3aabcae135f0a,0xeb5a6b6356f27246398cc3c4c5f7ee79f2045d35d642e1def0d56c7324034bea,mainnet
3000000000000000000000,1571198027,0x02ff3ae952c36ad6a1d28aee6d34859fedab02e10916941331968e24e994eef1,Fail,0x95fd1628e15e4ead16e4f85cc1e4e8c58d8bc34c,0x294f999356ed03347c7a23bcbcf8d33fa41dc830,0x47d16bab9af5551f9ac10b13e32726ceefe6c01152a9b9da01626172d9afda2e,mainnet
100000000000000000000,1562082425,0x030b693c0ea0ff7e3f1546eed7ee45cd97d98077ba4231d77cd4ae7b4e738e6c,Fail,0x26904e77a65ba7ff95803d804ef46fc6d8f33720,0x6bee9b81e434f7afce72a43a4016719315069539,0x65eb4e770e92e1cf8f45bc5e4056a130b76622657574b60a5c76b6276cb81c4d,mainnet
30000000000000000000,1574332594,0x0323c79584e56aaacc7a591d6ba145f6c92bd9977b75fb674a86b85a16598b82,Fail,0xbaaea72417f4dc3e0f52a1783b0913d0f3516634,0x2b8c70fffda7f3d7667f7cfede1429313886329c,0x67008094f98dfcf8ecf59d2ff153432ef9372ab04899ccc7f54894acb9fc7f8b,mainnet
250000000000000000000,1571443551,0x032fa2da3b1ced53a92fee864f3c5f17a1d31b9f6448eb2284053322a32f89e2,Pass,0xa15ca74e65bf72730811abf95163e89ad9b9dff6,0x294f999356ed03347c7a23bcbcf8d33fa41dc830,0x7c4cd8fb84def9d5c6feded50d4cf43d2a3096ec544981a359d6c87e1bfc6b27,mainnet
