createdAt,id,loot,memberAddress,molochAddress,shares,network
1597096422,0x0372f3696fa7dc99801f435fd6737e57818239f2-member-0x57db4c6e862e4144ff48b67732d2ccb5af9de14c-rage-10634727,0,0x57db4c6e862e4144ff48b67732d2ccb5af9de14c,0x0372f3696fa7dc99801f435fd6737e57818239f2,9,mainnet
1588744038,0x0372f3696fa7dc99801f435fd6737e57818239f2-member-0x5b93ff82faaf241c15997ea3975419dddd8362c5-rage-10010894,0,0x5b93ff82faaf241c15997ea3975419dddd8362c5,0x0372f3696fa7dc99801f435fd6737e57818239f2,17,mainnet
1584666507,0x0372f3696fa7dc99801f435fd6737e57818239f2-member-0x5bb3e1774923b75ecb804e2559149bbd2a39a414-rage-9705516,0,0x5bb3e1774923b75ecb804e2559149bbd2a39a414,0x0372f3696fa7dc99801f435fd6737e57818239f2,1,mainnet
1584666693,0x0372f3696fa7dc99801f435fd6737e57818239f2-member-0x5bb3e1774923b75ecb804e2559149bbd2a39a414-rage-9705530,0,0x5bb3e1774923b75ecb804e2559149bbd2a39a414,0x0372f3696fa7dc99801f435fd6737e57818239f2,21,mainnet
1574095880,0x0372f3696fa7dc99801f435fd6737e57818239f2-member-0x632889068e25630f5c928681e8529ee255d8cd52-rage-8957571,0,0x632889068e25630f5c928681e8529ee255d8cd52,0x0372f3696fa7dc99801f435fd6737e57818239f2,24,mainnet
1591832500,0x0372f3696fa7dc99801f435fd6737e57818239f2-member-0x65e624de155fb5e42454947b87b04c535b8acde9-rage-10240953,0,0x65e624de155fb5e42454947b87b04c535b8acde9,0x0372f3696fa7dc99801f435fd6737e57818239f2,13,mainnet
1596755396,0x0372f3696fa7dc99801f435fd6737e57818239f2-member-0x65e624de155fb5e42454947b87b04c535b8acde9-rage-10609123,0,0x65e624de155fb5e42454947b87b04c535b8acde9,0x0372f3696fa7dc99801f435fd6737e57818239f2,17,mainnet
1569853518,0x0372f3696fa7dc99801f435fd6737e57818239f2-member-0x66268791b55e1f5fa585d990326519f101407257-rage-8650567,0,0x66268791b55e1f5fa585d990326519f101407257,0x0372f3696fa7dc99801f435fd6737e57818239f2,6,mainnet
1588699352,0x0372f3696fa7dc99801f435fd6737e57818239f2-member-0x66b1de0f14a0ce971f7f248415063d44caf19398-rage-10007507,0,0x66b1de0f14a0ce971f7f248415063d44caf19398,0x0372f3696fa7dc99801f435fd6737e57818239f2,50,mainnet
1594749583,0x0372f3696fa7dc99801f435fd6737e57818239f2-member-0x66b1de0f14a0ce971f7f248415063d44caf19398-rage-10459113,0,0x66b1de0f14a0ce971f7f248415063d44caf19398,0x0372f3696fa7dc99801f435fd6737e57818239f2,21,mainnet
1592436455,0x0372f3696fa7dc99801f435fd6737e57818239f2-member-0x6dc43be93a8b5fd37dc16f24872babc6da5e5e3e-rage-10286190,0,0x6dc43be93a8b5fd37dc16f24872babc6da5e5e3e,0x0372f3696fa7dc99801f435fd6737e57818239f2,50,mainnet
1593143230,0x0372f3696fa7dc99801f435fd6737e57818239f2-member-0x6dc43be93a8b5fd37dc16f24872babc6da5e5e3e-rage-10339062,0,0x6dc43be93a8b5fd37dc16f24872babc6da5e5e3e,0x0372f3696fa7dc99801f435fd6737e57818239f2,200,mainnet
1594027635,0x0372f3696fa7dc99801f435fd6737e57818239f2-member-0x6dc43be93a8b5fd37dc16f24872babc6da5e5e3e-rage-10405061,0,0x6dc43be93a8b5fd37dc16f24872babc6da5e5e3e,0x0372f3696fa7dc99801f435fd6737e57818239f2,200,mainnet
1584987778,0x0372f3696fa7dc99801f435fd6737e57818239f2-member-0x6dc43be93a8b5fd37dc16f24872babc6da5e5e3e-rage-9729265,0,0x6dc43be93a8b5fd37dc16f24872babc6da5e5e3e,0x0372f3696fa7dc99801f435fd6737e57818239f2,15,mainnet
1571894312,0x0372f3696fa7dc99801f435fd6737e57818239f2-member-0x7a446c7fda67e5e8705ad90f2da52fc018280731-rage-8801086,0,0x7a446c7fda67e5e8705ad90f2da52fc018280731,0x0372f3696fa7dc99801f435fd6737e57818239f2,24,mainnet
1584272635,0x0372f3696fa7dc99801f435fd6737e57818239f2-member-0x7a446c7fda67e5e8705ad90f2da52fc018280731-rage-9675887,0,0x7a446c7fda67e5e8705ad90f2da52fc018280731,0x0372f3696fa7dc99801f435fd6737e57818239f2,14,mainnet
1587963634,0x0372f3696fa7dc99801f435fd6737e57818239f2-member-0x7f4c4b0f51c17e72248b2bcef176e7649c187e7b-rage-9952511,0,0x7f4c4b0f51c17e72248b2bcef176e7649c187e7b,0x0372f3696fa7dc99801f435fd6737e57818239f2,69,mainnet
1579016247,0x0372f3696fa7dc99801f435fd6737e57818239f2-member-0x818ff73a5d881c27a945be944973156c01141232-rage-9280009,0,0x818ff73a5d881c27a945be944973156c01141232,0x0372f3696fa7dc99801f435fd6737e57818239f2,6,mainnet
1588149961,0x0372f3696fa7dc99801f435fd6737e57818239f2-member-0x818ff73a5d881c27a945be944973156c01141232-rage-9966428,0,0x818ff73a5d881c27a945be944973156c01141232,0x0372f3696fa7dc99801f435fd6737e57818239f2,7,mainnet
1594199941,0x0372f3696fa7dc99801f435fd6737e57818239f2-member-0x82a8439ba037f88bc73c4ccf55292e158a67f125-rage-10418058,0,0x82a8439ba037f88bc73c4ccf55292e158a67f125,0x0372f3696fa7dc99801f435fd6737e57818239f2,5,mainnet
1577485378,0x0372f3696fa7dc99801f435fd6737e57818239f2-member-0x82a8439ba037f88bc73c4ccf55292e158a67f125-rage-9172804,0,0x82a8439ba037f88bc73c4ccf55292e158a67f125,0x0372f3696fa7dc99801f435fd6737e57818239f2,5,mainnet
1577485499,0x0372f3696fa7dc99801f435fd6737e57818239f2-member-0x82a8439ba037f88bc73c4ccf55292e158a67f125-rage-9172819,0,0x82a8439ba037f88bc73c4ccf55292e158a67f125,0x0372f3696fa7dc99801f435fd6737e57818239f2,40,mainnet
