boostedAt,closingAt,createdAt,executedAt,executionState,expiresInQueueAt,id,preBoostedAt,proposer,stage,stakesAgainst,stakesFor,totalRepWhenCreated,totalRepWhenExecuted,votesAgainst,votesFor,winningOutcome,dao,queuedVoteRequiredPercentage,network
,1583842048,1583262703,1583842048.0,QueueBarCrossed,1583867503,0x030651efbbd6d2b6d322c2f252246cc30fdc8349a75ead3ab223d3d0d2209c10,,0x7f2a1ef39ea0d470b5669ce105a13c5b3bd8cd31,Executed,50000000000000000000,0,372755296956910104475200,372755296956910104475200,227472440398910104475200,0,Fail,0xd358d4f159e6fae32d1b6096bdace829a5fe33fb,50,mainnet
1577492432.0,1577838040,1577273657,1577838040.0,BoostedTimeOut,1579865657,0x038f42c75c7176f8fb21b536dc7d2a39a312810506f7f05c35f794c5bb2830af,1577406014.0,0xa8c10bb33d996fbe0f47aae7e19306f424371ed3,Executed,150000000000000000000,200000000000000000000,2842497216000000000000000,2842497216000000000000000,0,922401216000000000000000,Pass,0xcfd897b2a166b27b2544be53764fb77e74b200a3,50,mainnet
1580580749.0,1581185550,1580412389,1581185550.0,BoostedTimeOut,1584300389,0x0399762b71be7436dc437bf31cc82c5c7e92909790567212fee46ac11d9da5da,1580494336.0,0x441428454b614d2bb2782165ef1cee53da79dd93,Executed,250000000000000000000,1500000000000000000000,1023279882412286650498327,1023279882412286650498327,0,217176197938950935056769,Pass,0x519b70055af55a007110b4ff99b0ea33071c720a,50,mainnet
,1582152643,1578248114,1582152643.0,QueueTimeOut,1582136114,0x03b9044124ae8f43d385c9ded4b527a1fbbc4d6b609f83a901c50c6a81f0c984,1578248191.0,0x7e19563299ed66d0b108c50a0e44232b8b41b9b6,ExpiredInQueue,1000000000000000000000,300000000000000000000,1033844313867907183058644,1033844313867907183058644,197523766593007662870197,0,Fail,0x519b70055af55a007110b4ff99b0ea33071c720a,50,mainnet
,1576448572,1576447723,1576448572.0,QueueBarCrossed,1579039723,0x04053cc35c428c4ee041a5a8b32e98ee20316fb0babee79ada883d05cde6f74a,,0x80ad4dbb3ee70dfbb9a7ad7fb923bac2619b6fd2,Executed,150000000000000000000,0,1000153000000000000000000,1000153000000000000000000,0,1000153000000000000000000,Pass,0xcfd897b2a166b27b2544be53764fb77e74b200a3,50,mainnet
1569382984.0,1569408836,1569274555,1569408836.0,BoostedBarCrossed,1569879355,0x043bc142d8f9f6ec52d4b7487aa6632a57ccb87a734f3ed1568cb3fde6c7b067,1569339680.0,0x7f2a1ef39ea0d470b5669ce105a13c5b3bd8cd31,Executed,50000000000,50000000000000000000,976696704020000000000,976696704020000000000,0,567113704020000000000,Pass,0xbe1a98d3452f6da6e0984589e545d4fc25af7526,50,mainnet
1597773145.0,1598032347,1597685995,1598032347.0,BoostedTimeOut,1598290795,0x04629ac2620fe087b5327894a4c0a655364556ccdfe670dab33eaa319b780189,1597686736.0,0x528bde57436b4b0bb23e084cd284176ccd2024f4,Executed,150000000000000000000,151000000000000000000,1269419052759622140060612,1269419052759622140060612,0,66101515126223155994561,Pass,0x519b70055af55a007110b4ff99b0ea33071c720a,50,mainnet
1568672738.0,1569021643,1568577912,1569021643.0,BoostedTimeOut,1571169912,0x04659cd040dd3060cbb89cce0e9af4b6c14165a3ef18f5322efd95d201c2c1ef,1568581428.0,0x5db06acd673531218b10430ba6de9b69913ad545,Executed,150000000000000000000,680000000000000000000,42914457099546149894002,42914457099546149894002,0,2181433403331685891510,Pass,0x294f999356ed03347c7a23bcbcf8d33fa41dc830,50,mainnet
,1591746238,1591652797,1591746238.0,QueueBarCrossed,1592257597,0x0474eee8e775f09aa0f9bc4c76cfae227842f59f7a1ab2a442814443be69d344,,0x639749b7b08aee65039c21d8a411103c6cebebf0,Executed,1000000000000000000,0,507130000000000000000000,507130000000000000000000,0,254506000000000000000000,Pass,0x15344ecdc2c4edfcb092e284d93c20f0529fd8a6,50,mainnet
1603272135.0,1603531353,1603121184,1603531353.0,BoostedTimeOut,1603725984,0x048ea9f93f072584fb9570ea85cb2c18d8b364f85cb5761b5258e92a1a74d949,1603121681.0,0x441428454b614d2bb2782165ef1cee53da79dd93,Executed,150000000000000000000,200000000000000000000,1379887314739030388888641,1379887314739030388888641,0,8418544992000000000000,Pass,0x519b70055af55a007110b4ff99b0ea33071c720a,50,mainnet
1561031767.0,1561377382,1560172218,1561377382.0,BoostedTimeOut,1562764218,0x048ec0093f570c14540b8b81e20bb57473f867e4f18eda7a85a27cc30e74ee7d,1560945343.0,0x867e3df45c4e235ec27635850b708242f70f7831,Executed,160000000000000000000,405000000000000000000,32103794433960064540967,32103794433960064540967,2775491039425882941955,2043332364082194957396,Fail,0x294f999356ed03347c7a23bcbcf8d33fa41dc830,50,mainnet
,1584734616,1584731578,1584734616.0,QueueBarCrossed,1585336378,0x04d7d3fb1918428f465d23954b0da9e2c70e3c29fdfe7934b8158224798c996f,,0x7f2a1ef39ea0d470b5669ce105a13c5b3bd8cd31,Executed,1000000000000000000,0,444026000000000000000000,444026000000000000000000,0,235127000000000000000000,Pass,0x15344ecdc2c4edfcb092e284d93c20f0529fd8a6,50,mainnet
