createdAt,didRagequit,exists,id,loot,memberAddress,molochAddress,shares,network
1593411077,False,True,0x016e79e9101a8eaa3e7f46d6d1c267819c09c939-member-0x68d36dcbdd7bbf206e27134f28103abe7cf972df,0,0x68d36dcbdd7bbf206e27134f28103abe7cf972df,0x016e79e9101a8eaa3e7f46d6d1c267819c09c939,4,mainnet
1588360222,False,True,0x016e79e9101a8eaa3e7f46d6d1c267819c09c939-member-0x70ee1166e52f227ac161570e02a75d68f6e3c92a,0,0x70ee1166e52f227ac161570e02a75d68f6e3c92a,0x016e79e9101a8eaa3e7f46d6d1c267819c09c939,700,mainnet
1586276928,False,True,0x016e79e9101a8eaa3e7f46d6d1c267819c09c939-member-0x717303f9258ff6fae98a9e1dba3d34bf21688415,0,0x717303f9258ff6fae98a9e1dba3d34bf21688415,0x016e79e9101a8eaa3e7f46d6d1c267819c09c939,700,mainnet
1603372080,False,False,0x016e79e9101a8eaa3e7f46d6d1c267819c09c939-member-0x7414df7948e17c37e588e5ac8e43195cbb2af801,0,0x7414df7948e17c37e588e5ac8e43195cbb2af801,0x016e79e9101a8eaa3e7f46d6d1c267819c09c939,0,mainnet
1598116495,False,True,0x016e79e9101a8eaa3e7f46d6d1c267819c09c939-member-0x84e356a5af981e8e91513396cb75078f0f638bb6,0,0x84e356a5af981e8e91513396cb75078f0f638bb6,0x016e79e9101a8eaa3e7f46d6d1c267819c09c939,2,mainnet
1589736687,False,True,0x016e79e9101a8eaa3e7f46d6d1c267819c09c939-member-0x865c2f85c9fea1c6ac7f53de07554d68cb92ed88,0,0x865c2f85c9fea1c6ac7f53de07554d68cb92ed88,0x016e79e9101a8eaa3e7f46d6d1c267819c09c939,10,mainnet
1602700120,False,True,0x016e79e9101a8eaa3e7f46d6d1c267819c09c939-member-0x92917666b0ffbd39d4ce4fcf2df1c6c4808cfdb6,0,0x92917666b0ffbd39d4ce4fcf2df1c6c4808cfdb6,0x016e79e9101a8eaa3e7f46d6d1c267819c09c939,1,mainnet
1603367621,False,True,0x016e79e9101a8eaa3e7f46d6d1c267819c09c939-member-0x943b614a600117b3cb96f33b6ced60571e8b6c91,0,0x943b614a600117b3cb96f33b6ced60571e8b6c91,0x016e79e9101a8eaa3e7f46d6d1c267819c09c939,1,mainnet
1593018761,False,True,0x016e79e9101a8eaa3e7f46d6d1c267819c09c939-member-0x9af481276b075e036bc23e887a8bd275e69ef74c,0,0x9af481276b075e036bc23e887a8bd275e69ef74c,0x016e79e9101a8eaa3e7f46d6d1c267819c09c939,1,mainnet
1602413645,False,True,0x016e79e9101a8eaa3e7f46d6d1c267819c09c939-member-0xa36fb3c8ead0a0b976e5fcf01ad2e51e1ad3d034,0,0xa36fb3c8ead0a0b976e5fcf01ad2e51e1ad3d034,0x016e79e9101a8eaa3e7f46d6d1c267819c09c939,1,mainnet
1589950193,False,True,0x016e79e9101a8eaa3e7f46d6d1c267819c09c939-member-0xad1cbe6fcab49120273df0c308f6c1b094fbfb57,0,0xad1cbe6fcab49120273df0c308f6c1b094fbfb57,0x016e79e9101a8eaa3e7f46d6d1c267819c09c939,30,mainnet
1585021663,False,False,0x016e79e9101a8eaa3e7f46d6d1c267819c09c939-member-0xbaf6e57a3940898fd21076b139d4ab231dcbbc5f,0,0xbaf6e57a3940898fd21076b139d4ab231dcbbc5f,0x016e79e9101a8eaa3e7f46d6d1c267819c09c939,0,mainnet
1592303178,False,True,0x016e79e9101a8eaa3e7f46d6d1c267819c09c939-member-0xbcb77084e79c3742fbc59dfbf18dbbdbb522500b,0,0xbcb77084e79c3742fbc59dfbf18dbbdbb522500b,0x016e79e9101a8eaa3e7f46d6d1c267819c09c939,1,mainnet
1596246727,False,True,0x016e79e9101a8eaa3e7f46d6d1c267819c09c939-member-0xc275a42dcd98a19ec06874623dc80fee99911592,0,0xc275a42dcd98a19ec06874623dc80fee99911592,0x016e79e9101a8eaa3e7f46d6d1c267819c09c939,4,mainnet
1592568838,False,True,0x016e79e9101a8eaa3e7f46d6d1c267819c09c939-member-0xc3f6e18b429b6baf1bd31b1e504aee7827c7aab5,0,0xc3f6e18b429b6baf1bd31b1e504aee7827c7aab5,0x016e79e9101a8eaa3e7f46d6d1c267819c09c939,1,mainnet
1589712441,False,True,0x016e79e9101a8eaa3e7f46d6d1c267819c09c939-member-0xced608aa29bb92185d9b6340adcbfa263dae075b,0,0xced608aa29bb92185d9b6340adcbfa263dae075b,0x016e79e9101a8eaa3e7f46d6d1c267819c09c939,2,mainnet
1591039172,False,True,0x016e79e9101a8eaa3e7f46d6d1c267819c09c939-member-0xdbadf8f48fb502e0fb9539a2f5a6c9b4b3d13e30,0,0xdbadf8f48fb502e0fb9539a2f5a6c9b4b3d13e30,0x016e79e9101a8eaa3e7f46d6d1c267819c09c939,1,mainnet
1592570697,False,True,0x016e79e9101a8eaa3e7f46d6d1c267819c09c939-member-0xdc546f477f273bcf327297bf4adcb671b5f20be1,0,0xdc546f477f273bcf327297bf4adcb671b5f20be1,0x016e79e9101a8eaa3e7f46d6d1c267819c09c939,1,mainnet
1592569940,False,True,0x016e79e9101a8eaa3e7f46d6d1c267819c09c939-member-0xf24f32a62594978da3f8d88d61225a101ed40212,0,0xf24f32a62594978da3f8d88d61225a101ed40212,0x016e79e9101a8eaa3e7f46d6d1c267819c09c939,1,mainnet
1592996126,False,True,0x016e79e9101a8eaa3e7f46d6d1c267819c09c939-member-0xf2d6892104e00ea0dbb6f81a88355db201289890,0,0xf2d6892104e00ea0dbb6f81a88355db201289890,0x016e79e9101a8eaa3e7f46d6d1c267819c09c939,1,mainnet
