createdAt,id,memberAddress,molochAddress,uintVote,proposalAddress,network
1588738821,0x016e79e9101a8eaa3e7f46d6d1c267819c09c939-member-0x717303f9258ff6fae98a9e1dba3d34bf21688415-vote-7,0x717303f9258ff6fae98a9e1dba3d34bf21688415,0x016e79e9101a8eaa3e7f46d6d1c267819c09c939,1,0x016e79e9101a8eaa3e7f46d6d1c267819c09c939-proposal-7,mainnet
1589883313,0x016e79e9101a8eaa3e7f46d6d1c267819c09c939-member-0x717303f9258ff6fae98a9e1dba3d34bf21688415-vote-8,0x717303f9258ff6fae98a9e1dba3d34bf21688415,0x016e79e9101a8eaa3e7f46d6d1c267819c09c939,1,0x016e79e9101a8eaa3e7f46d6d1c267819c09c939-proposal-8,mainnet
1589711546,0x016e79e9101a8eaa3e7f46d6d1c267819c09c939-member-0x717303f9258ff6fae98a9e1dba3d34bf21688415-vote-9,0x717303f9258ff6fae98a9e1dba3d34bf21688415,0x016e79e9101a8eaa3e7f46d6d1c267819c09c939,1,0x016e79e9101a8eaa3e7f46d6d1c267819c09c939-proposal-9,mainnet
1594574656,0x016e79e9101a8eaa3e7f46d6d1c267819c09c939-member-0x865c2f85c9fea1c6ac7f53de07554d68cb92ed88-vote-29,0x865c2f85c9fea1c6ac7f53de07554d68cb92ed88,0x016e79e9101a8eaa3e7f46d6d1c267819c09c939,1,0x016e79e9101a8eaa3e7f46d6d1c267819c09c939-proposal-29,mainnet
1590718901,0x016e79e9101a8eaa3e7f46d6d1c267819c09c939-member-0xad1cbe6fcab49120273df0c308f6c1b094fbfb57-vote-10,0xad1cbe6fcab49120273df0c308f6c1b094fbfb57,0x016e79e9101a8eaa3e7f46d6d1c267819c09c939,1,0x016e79e9101a8eaa3e7f46d6d1c267819c09c939-proposal-10,mainnet
1590718902,0x016e79e9101a8eaa3e7f46d6d1c267819c09c939-member-0xad1cbe6fcab49120273df0c308f6c1b094fbfb57-vote-13,0xad1cbe6fcab49120273df0c308f6c1b094fbfb57,0x016e79e9101a8eaa3e7f46d6d1c267819c09c939,1,0x016e79e9101a8eaa3e7f46d6d1c267819c09c939-proposal-13,mainnet
1596516693,0x016e79e9101a8eaa3e7f46d6d1c267819c09c939-member-0xad1cbe6fcab49120273df0c308f6c1b094fbfb57-vote-31,0xad1cbe6fcab49120273df0c308f6c1b094fbfb57,0x016e79e9101a8eaa3e7f46d6d1c267819c09c939,1,0x016e79e9101a8eaa3e7f46d6d1c267819c09c939-proposal-31,mainnet
1596516693,0x016e79e9101a8eaa3e7f46d6d1c267819c09c939-member-0xad1cbe6fcab49120273df0c308f6c1b094fbfb57-vote-33,0xad1cbe6fcab49120273df0c308f6c1b094fbfb57,0x016e79e9101a8eaa3e7f46d6d1c267819c09c939,1,0x016e79e9101a8eaa3e7f46d6d1c267819c09c939-proposal-33,mainnet
1596516693,0x016e79e9101a8eaa3e7f46d6d1c267819c09c939-member-0xad1cbe6fcab49120273df0c308f6c1b094fbfb57-vote-34,0xad1cbe6fcab49120273df0c308f6c1b094fbfb57,0x016e79e9101a8eaa3e7f46d6d1c267819c09c939,1,0x016e79e9101a8eaa3e7f46d6d1c267819c09c939-proposal-34,mainnet
1601174249,0x016e79e9101a8eaa3e7f46d6d1c267819c09c939-member-0xad1cbe6fcab49120273df0c308f6c1b094fbfb57-vote-39,0xad1cbe6fcab49120273df0c308f6c1b094fbfb57,0x016e79e9101a8eaa3e7f46d6d1c267819c09c939,1,0x016e79e9101a8eaa3e7f46d6d1c267819c09c939-proposal-39,mainnet
