date,members
1568505600,110
1568592000,110
1568678400,113
1568764800,114
1568851200,116
1568937600,117
1569024000,117
1569110400,117
1569196800,117
1569283200,118
1569369600,114
1569456000,120
1569542400,121
1569628800,121
1569715200,120
1569801600,121
1569888000,122
1569974400,122
1570060800,124
1570147200,126
1570233600,126
1570320000,127
1570406400,127
1570492800,132
1570579200,133
1570665600,138
1570752000,138
1570838400,139
1570924800,137
1571011200,145
1571097600,147
1571184000,148
1571270400,147
1571356800,152
1571443200,152
1571529600,152
1571616000,153
1571702400,153
1571788800,153
1571875200,153
1571961600,154
1572048000,159
1572134400,159
1572220800,157
1572307200,162
1572393600,162
1572480000,162
1572566400,162
1572652800,162
1572739200,163
1572825600,164
1572912000,164
1572998400,165
1573084800,167
1573171200,167
1573257600,167
1573344000,168
1573430400,169
1573516800,169
1573603200,169
1573689600,171
1573776000,172
1573862400,173
1573948800,175
1574035200,175
1574121600,178
1574208000,179
1574294400,180
1574380800,181
1574467200,181
1574553600,181
1574640000,181
1574726400,181
1574812800,182
1574899200,185
1574985600,185
1575072000,185
1575158400,185
1575244800,183
1575331200,186
1575417600,189
1575504000,189
1575590400,189
1575676800,190
1575763200,190
1575849600,190
1575936000,193
1576022400,194
1576108800,201
1576195200,207
1576281600,207
1576368000,208
1576454400,210
1576540800,211
1576627200,212
1576713600,213
1576800000,213
1576886400,214
1576972800,214
1577059200,214
1577145600,216
1577232000,217
1577318400,218
1577404800,215
1577491200,218
1577577600,218
1577664000,218
1577750400,217
1577836800,218
1577923200,219
1578009600,219
1578096000,220
1578182400,219
1578268800,220
1578355200,221
1578441600,221
1578528000,223
1578614400,223
1578700800,225
1578787200,225
1578873600,226
1578960000,224
1579046400,229
1579132800,229
1579219200,237
1579305600,237
1579392000,240
1579478400,242
1579564800,243
1579651200,250
1579737600,251
1579824000,255
1579910400,257
1579996800,259
1580083200,264
1580169600,263
1580256000,264
1580342400,267
1580428800,268
1580515200,271
1580601600,271
1580688000,270
1580774400,278
1580860800,281
1580947200,282
1581033600,283
1581120000,285
1581206400,290
1581292800,296
1581379200,299
1581465600,304
1581552000,308
1581638400,308
1581724800,310
1581811200,318
1581897600,319
1581984000,319
1582070400,323
1582156800,324
1582243200,326
1582329600,327
1582416000,329
1582502400,329
1582588800,338
1582675200,341
1582761600,343
1582848000,350
1582934400,352
1583020800,356
1583107200,355
1583193600,354
1583280000,358
1583366400,364
1583452800,366
1583539200,374
1583625600,377
1583712000,378
1583798400,386
1583884800,387
1583971200,387
1584057600,391
1584144000,393
1584230400,395
1584316800,396
1584403200,399
1584489600,409
1584576000,412
1584662400,410
1584748800,413
1584835200,415
1584921600,416
1585008000,418
1585094400,417
1585180800,422
1585267200,423
1585353600,427
1585440000,429
1585526400,433
1585612800,433
1585699200,433
1585785600,434
1585872000,436
1585958400,435
1586044800,438
1586131200,438
1586217600,439
1586304000,441
1586390400,439
1586476800,447
1586563200,446
1586649600,444
1586736000,448
1586822400,457
1586908800,462
1586995200,467
1587081600,466
1587168000,471
1587254400,479
1587340800,479
1587427200,483
1587513600,485
1587600000,489
1587686400,496
1587772800,497
1587859200,499
1587945600,497
1588032000,501
1588118400,505
1588204800,509
1588291200,521
1588377600,533
1588464000,546
1588550400,549
1588636800,550
1588723200,555
1588809600,556
1588896000,557
1588982400,564
1589068800,566
1589155200,566
1589241600,569
1589328000,571
1589414400,570
1589500800,572
1589587200,574
1589673600,576
1589760000,602
1589846400,603
1589932800,605
1590019200,604
1590105600,605
1590192000,607
1590278400,607
1590364800,610
1590451200,616
1590537600,621
1590624000,624
1590710400,625
1590796800,627
1590883200,629
1590969600,632
1591056000,634
1591142400,634
1591228800,638
1591315200,638
1591401600,645
1591488000,646
1591574400,651
1591660800,655
1591747200,663
1591833600,665
1591920000,669
1592006400,675
1592092800,700
1592179200,717
1592265600,731
1592352000,748
1592438400,758
1592524800,762
1592611200,769
1592697600,776
1592784000,780
1592870400,786
1592956800,790
1593043200,794
1593129600,794
1593216000,797
1593302400,799
1593388800,802
1593475200,805
1593561600,810
1593648000,816
1593734400,817
1593820800,821
1593907200,823
1593993600,832
1594080000,834
1594166400,833
1594252800,840
1594339200,845
1594425600,843
1594512000,847
1594598400,849
1594684800,853
1594771200,855
1594857600,858
1594944000,859
1595030400,860
1595116800,860
1595203200,862
1595289600,862
1595376000,867
1595462400,868
1595548800,868
1595635200,870
1595721600,872
1595808000,876
1595894400,877
1595980800,881
1596067200,885
1596153600,884
1596240000,888
1596326400,899
1596412800,903
1596499200,905
1596585600,912
1596672000,918
1596758400,920
1596844800,925
1596931200,926
1597017600,925
1597104000,929
1597190400,931
1597276800,932
1597363200,953
1597449600,954
1597536000,988
1597622400,989
1597708800,990
1597795200,998
1597881600,999
1597968000,998
1598054400,1007
1598140800,1007
1598227200,1019
1598313600,1021
1598400000,1024
1598486400,1027
1598572800,1031
1598659200,1031
1598745600,1032
1598832000,1034
1598918400,1034
1599004800,1036
1599091200,1043
1599177600,1063
1599264000,1062
1599350400,1073
1599436800,1069
1599523200,1078
1599609600,1081
1599696000,1084
1599782400,1085
1599868800,1084
1599955200,1087
1600041600,1087
1600128000,1089
1600214400,1098
1600300800,1098
1600387200,1100
1600473600,1100
1600560000,1102
1600646400,1103
1600732800,1107
1600819200,1111
1600905600,1112
1600992000,1114
1601078400,1114
1601164800,1115
1601251200,1118
1601337600,1121
1601424000,1123
1601510400,1122
1601596800,1125
1601683200,1125
1601769600,1127
1601856000,1130
1601942400,1136
1602028800,1137
1602115200,1138
1602201600,1143
1602288000,1143
1602374400,1143
1602460800,1146
1602547200,1146
1602633600,1151
1602720000,1155
1602806400,1155
1602892800,1155
1602979200,1158
1603065600,1159
1603152000,1159
1603238400,1163
1603324800,1164
1603411200,1169
1603497600,1169
1603584000,1169
1603670400,1170
1603756800,1176
1603843200,1177
1603929600,1178
1604016000,1178
1604102400,1179
1604188800,1179
1604275200,1180
